Episode,Total Reward,Epsilon,Attempts,Success
317,142,0.2041345879004775,3,1
318,133,0.2031139149609751,3,1
319,146,0.20209834538617025,4,1
320,141,0.2010878536592394,4,1
321,152,0.2000824143909432,4,1
322,144,0.19908200231898848,4,1
323,142,0.19808659230739353,3,1
324,169,0.19709615934585656,5,1
325,167,0.19611067854912728,4,1
326,135,0.19513012515638165,3,1
327,133,0.19415447453059972,3,1
328,133,0.19318370215794672,3,1
329,139,0.192217783647157,3,1
330,150,0.1912566947289212,4,1
331,135,0.1903004112552766,4,1
332,151,0.18934890919900021,4,1
333,136,0.18840216465300522,4,1
334,132,0.18746015382974018,3,1
335,131,0.1865228530605915,4,1
336,142,0.18559023879528855,4,1
337,151,0.1846622876013121,4,1
338,142,0.18373897616330553,4,1
339,138,0.182820281282489,4,1
340,160,0.18190617987607657,4,1
341,145,0.18099664897669618,4,1
342,158,0.1800916657318127,4,1
343,131,0.17919120740315364,3,1
344,150,0.17829525136613786,5,1
345,135,0.17740377510930716,3,1
346,135,0.17651675623376062,4,1
347,137,0.1756341724525918,3,1
348,166,0.17475600159032884,4,1
349,145,0.17388222158237718,4,1
350,159,0.1730128104744653,4,1
351,151,0.17214774642209296,4,1
352,151,0.1712870076899825,4,1
353,146,0.17043057265153258,4,1
354,147,0.16957841978827493,4,1
355,142,0.16873052768933355,4,1
356,152,0.1678868750508869,3,1
357,33,0.16704744067563246,6,0
358,151,0.1662122034722543,5,1
359,145,0.16538114245489302,4,1
360,149,0.16455423674261854,4,1
361,143,0.16373146555890544,3,1
362,142,0.16291280823111093,3,1
363,144,0.16209824418995536,5,1
364,202,0.16128775296900558,6,1
365,151,0.16048131420416054,4,1
366,146,0.15967890763313974,5,1
367,131,0.15888051309497406,2,1
368,167,0.1580861105294992,5,1
369,134,0.1572956799768517,3,1
370,145,0.15650920157696743,4,1
371,136,0.1557266555690826,3,1
372,140,0.1549480222912372,3,1
373,197,0.15417328217978102,6,1
374,142,0.1534024157688821,4,1
375,131,0.1526354036900377,2,1
376,148,0.1518722266715875,3,1
377,154,0.15111286553822956,4,1
378,139,0.15035730121053842,3,1
379,150,0.14960551470448571,4,1
380,149,0.14885748713096328,4,1
381,149,0.14811319969530845,4,1
382,168,0.1473726336968319,5,1
383,141,0.14663577052834775,3,1
384,171,0.14590259167570602,5,1
385,160,0.1451730787173275,5,1
386,137,0.14444721332374086,4,1
387,45,0.14372497725712216,6,0
388,153,0.14300635237083656,4,1
389,137,0.14229132060898236,3,1
390,163,0.14157986400593744,5,1
391,96,0.14087196468590776,6,0
392,170,0.14016760486247823,6,1
393,142,0.13946676683816583,3,1
394,130,0.138769433003975,2,1
395,149,0.13807558583895513,4,1
396,146,0.13738520790976036,4,1
397,132,0.13669828187021155,4,1
398,139,0.13601479046086049,5,1
399,152,0.1353347165085562,4,1
400,168,0.1346580429260134,5,1
401,36,0.13398475271138335,6,0
402,154,0.13331482894782642,4,1
403,139,0.13264825480308728,3,1
404,143,0.13198501352907185,4,1
405,167,0.1313250884614265,5,1
406,161,0.13066846301911936,4,1
407,82,0.13001512070402377,6,0
408,133,0.12936504510050365,3,1
409,141,0.12871821987500112,3,1
410,158,0.12807462877562611,5,1
411,140,0.12743425563174798,4,1
412,135,0.12679708435358925,4,1
413,158,0.1261630989318213,4,1
414,159,0.1255322834371622,4,1
415,153,0.12490462201997637,4,1
416,176,0.1242800989098765,5,1
417,146,0.12365869841532712,4,1
418,154,0.12304040492325048,4,1
419,155,0.12242520289863423,4,1
420,155,0.12181307688414106,5,1
421,152,0.12120401149972035,3,1
422,135,0.12059799144222175,3,1
423,135,0.11999500148501063,4,1
424,144,0.11939502647758558,3,1
425,136,0.11879805134519765,3,1
426,145,0.11820406108847166,4,1
427,153,0.1176130407830293,4,1
428,144,0.11702497557911415,4,1
429,140,0.11643985070121858,4,1
430,147,0.11585765144771248,4,1
431,145,0.11527836319047392,5,1
432,177,0.11470197137452155,5,1
433,159,0.11412846151764894,5,1
434,153,0.1135578192100607,5,1
435,139,0.11299003011401039,2,1
436,155,0.11242507996344034,4,1
437,147,0.11186295456362313,4,1
438,134,0.11130363979080501,3,1
439,134,0.11074712159185099,2,1
440,150,0.11019338598389174,4,1
441,144,0.10964241905397228,4,1
442,157,0.10909420695870241,4,1
443,179,0.1085487359239089,6,1
444,183,0.10800599224428936,6,1
445,127,0.10746596228306791,3,1
446,148,0.10692863247165257,4,1
447,134,0.1063939893092943,3,1
448,147,0.10586201936274783,4,1
449,144,0.10533270926593409,3,1
450,167,0.10480604571960442,5,1
451,152,0.1042820154910064,4,1
452,53,0.10376060541355137,6,0
453,152,0.1032418023864836,3,1
454,135,0.10272559337455119,3,1
455,164,0.10221196540767843,6,1
456,143,0.10170090558064004,4,1
457,149,0.10119240105273684,4,1
458,141,0.10068643904747315,3,1
459,145,0.10018300685223579,4,1
460,162,0.0996820918179746,5,1
461,175,0.09918368135888474,6,1
462,136,0.09868776295209031,4,1
463,142,0.09819432413732986,3,1
464,143,0.09770335251664321,4,1
465,146,0.09721483575406,5,1
466,133,0.09672876157528969,3,1
467,136,0.09624511776741324,2,1
468,159,0.09576389217857617,4,1
469,176,0.09528507271768329,5,1
470,139,0.09480864735409487,3,1
471,154,0.0943346041173244,4,1
472,151,0.09386293109673778,5,1
473,139,0.09339361644125409,3,1
474,135,0.09292664835904782,4,1
475,138,0.09246201511725258,4,1
476,133,0.09199970504166631,4,1
477,156,0.09153970651645797,4,1
478,148,0.09108200798387568,4,1
479,160,0.0906265979439563,4,1
480,33,0.09017346495423652,6,0
481,171,0.08972259762946533,4,1
482,163,0.089273984641318,4,1
483,154,0.0888276147181114,4,1
484,180,0.08838347664452084,5,1
485,169,0.08794155926129824,5,1
486,151,0.08750185146499175,4,1
487,133,0.08706434220766679,3,1
488,164,0.08662902049662846,4,1
489,136,0.08619587539414532,3,1
490,157,0.08576489601717459,5,1
491,143,0.08533607153708872,4,1
492,186,0.08490939117940327,6,1
493,145,0.08448484422350626,4,1
494,130,0.08406242000238873,3,1
495,140,0.08364210790237678,4,1
496,157,0.0832238973628649,4,1
497,160,0.08280777787605056,4,1
498,152,0.08239373898667031,4,1
499,134,0.08198177029173696,3,1
500,45,0.08157186144027828,6,0
501,137,0.0811640021330769,3,1
502,170,0.08075818212241151,5,1
503,136,0.08035439121179945,4,1
504,139,0.07995261925574046,3,1
505,197,0.07955285615946175,6,1
506,144,0.07915509187866444,3,1
507,131,0.07875931641927113,3,1
508,131,0.07836551983717477,3,1
509,151,0.07797369223798889,5,1
510,163,0.07758382377679894,4,1
511,145,0.07719590465791494,3,1
512,150,0.07680992513462537,4,1
513,166,0.07642587550895225,5,1
514,141,0.07604374613140748,3,1
515,139,0.07566352740075044,4,1
516,179,0.07528520976374668,6,1
517,144,0.07490878371492794,5,1
518,155,0.0745342397963533,4,1
519,142,0.07416156859737154,4,1
520,164,0.07379076075438468,5,1
521,143,0.07342180695061275,3,1
522,140,0.07305469791585968,3,1
523,139,0.07268942442628039,4,1
524,143,0.07232597730414898,5,1
525,149,0.07196434741762824,4,1
526,134,0.0716045256805401,3,1
527,141,0.0712465030521374,3,1
528,146,0.0708902705368767,4,1
529,151,0.07053581918419231,4,1
530,160,0.07018314008827135,5,1
531,135,0.06983222438783,3,1
532,147,0.06948306326589085,4,1
