Episode,Total Reward,Attempts,Success,Epsilon
293,177,3,1,0.23023039494318503
294,153,2,1,0.2290792429684691
295,182,3,1,0.22793384675362674
296,270,5,1,0.22679417751985861
297,191,4,1,0.22566020663225933
298,224,6,1,0.22453190559909803
299,196,4,1,0.22340924607110255
300,191,4,1,0.22229219984074702
301,162,3,1,0.2211807388415433
302,186,4,1,0.22007483514733558
303,171,4,1,0.2189744609715989
304,164,6,0,0.2178795886667409
305,181,4,1,0.2167901907234072
306,167,3,1,0.21570623976979014
307,274,6,1,0.21462770857094118
308,167,3,1,0.21355457002808648
309,197,3,1,0.21248679717794605
310,220,5,1,0.21142436319205632
311,192,3,1,0.21036724137609603
312,211,4,1,0.20931540516921554
313,240,5,1,0.20826882814336947
314,172,3,1,0.20722748400265262
315,260,5,1,0.20619134658263935
316,190,5,1,0.20516038984972615
317,211,4,1,0.2041345879004775
318,250,5,1,0.2031139149609751
319,245,5,1,0.20209834538617025
320,225,5,1,0.2010878536592394
321,181,4,1,0.2000824143909432
322,173,2,1,0.19908200231898848
323,159,6,0,0.19808659230739353
324,197,3,1,0.19709615934585656
325,221,4,1,0.19611067854912728
326,177,3,1,0.19513012515638165
327,201,4,1,0.19415447453059972
328,201,4,1,0.19318370215794672
329,191,4,1,0.192217783647157
330,265,5,1,0.1912566947289212
331,171,4,1,0.1903004112552766
332,177,3,1,0.18934890919900021
333,177,3,1,0.18840216465300522
334,167,3,1,0.18746015382974018
335,220,5,1,0.1865228530605915
336,167,3,1,0.18559023879528855
337,215,5,1,0.1846622876013121
338,181,4,1,0.18373897616330553
339,167,3,1,0.182820281282489
340,250,5,1,0.18190617987607657
341,177,3,1,0.18099664897669618
342,202,3,1,0.1800916657318127
343,245,5,1,0.17919120740315364
344,181,4,1,0.17829525136613786
345,167,3,1,0.17740377510930716
346,215,5,1,0.17651675623376062
347,182,3,1,0.1756341724525918
348,182,3,1,0.17475600159032884
349,229,6,1,0.17388222158237718
350,186,4,1,0.1730128104744653
351,186,4,1,0.17214774642209296
352,158,2,1,0.1712870076899825
353,190,5,1,0.17043057265153258
354,181,4,1,0.16957841978827493
355,190,5,1,0.16873052768933355
356,196,4,1,0.1678868750508869
357,166,4,1,0.16704744067563246
358,191,4,1,0.1662122034722543
359,182,3,1,0.16538114245489302
360,190,5,1,0.16455423674261854
361,191,4,1,0.16373146555890544
362,211,4,1,0.16291280823111093
363,186,4,1,0.16209824418995536
364,206,4,1,0.16128775296900558
365,172,3,1,0.16048131420416054
366,181,4,1,0.15967890763313974
367,216,4,1,0.15888051309497406
368,168,2,1,0.1580861105294992
369,215,5,1,0.1572956799768517
370,230,5,1,0.15650920157696743
371,225,5,1,0.1557266555690826
372,215,5,1,0.1549480222912372
373,191,4,1,0.15417328217978102
374,196,4,1,0.1534024157688821
375,245,5,1,0.1526354036900377
376,163,2,1,0.1518722266715875
377,205,5,1,0.15111286553822956
378,211,4,1,0.15035730121053842
379,177,3,1,0.14960551470448571
380,206,4,1,0.14885748713096328
381,220,5,1,0.14811319969530845
382,167,3,1,0.1473726336968319
383,225,5,1,0.14663577052834775
384,172,3,1,0.14590259167570602
385,202,3,1,0.1451730787173275
386,177,3,1,0.14444721332374086
387,186,4,1,0.14372497725712216
388,201,4,1,0.14300635237083656
389,187,3,1,0.14229132060898236
390,185,5,1,0.14157986400593744
391,201,4,1,0.14087196468590776
392,202,3,1,0.14016760486247823
393,195,5,1,0.13946676683816583
394,162,3,1,0.138769433003975
395,162,3,1,0.13807558583895513
396,181,4,1,0.13738520790976036
397,187,3,1,0.13669828187021155
398,201,4,1,0.13601479046086049
399,205,5,1,0.1353347165085562
400,177,3,1,0.1346580429260134
401,157,3,1,0.13398475271138335
402,206,4,1,0.13331482894782642
403,192,3,1,0.13264825480308728
404,69,6,0,0.13198501352907185
405,226,4,1,0.1313250884614265
406,221,4,1,0.13066846301911936
407,191,4,1,0.13001512070402377
408,259,6,1,0.12936504510050365
409,162,3,1,0.12871821987500112
410,206,4,1,0.12807462877562611
411,181,4,1,0.12743425563174798
412,240,5,1,0.12679708435358925
413,201,4,1,0.1261630989318213
414,226,4,1,0.1255322834371622
415,196,4,1,0.12490462201997637
416,177,3,1,0.1242800989098765
417,191,4,1,0.12365869841532712
418,182,3,1,0.12304040492325048
419,196,4,1,0.12242520289863423
420,163,2,1,0.12181307688414106
421,190,5,1,0.12120401149972035
422,186,4,1,0.12059799144222175
423,289,6,1,0.11999500148501063
424,191,4,1,0.11939502647758558
425,167,3,1,0.11879805134519765
426,187,3,1,0.11820406108847166
427,221,4,1,0.1176130407830293
428,206,4,1,0.11702497557911415
429,167,3,1,0.11643985070121858
430,206,4,1,0.11585765144771248
431,167,3,1,0.11527836319047392
432,191,4,1,0.11470197137452155
433,207,3,1,0.11412846151764894
434,177,3,1,0.1135578192100607
435,221,4,1,0.11299003011401039
436,185,5,1,0.11242507996344034
437,176,4,1,0.11186295456362313
438,201,4,1,0.11130363979080501
439,181,4,1,0.11074712159185099
440,196,4,1,0.11019338598389174
441,177,3,1,0.10964241905397228
442,196,4,1,0.10909420695870241
443,216,4,1,0.1085487359239089
444,220,5,1,0.10800599224428936
445,163,2,1,0.10746596228306791
446,181,4,1,0.10692863247165257
447,196,4,1,0.1063939893092943
448,176,4,1,0.10586201936274783
449,163,2,1,0.10533270926593409
450,162,3,1,0.10480604571960442
451,134,6,0,0.1042820154910064
452,264,6,1,0.10376060541355137
453,191,4,1,0.1032418023864836
454,216,4,1,0.10272559337455119
455,196,4,1,0.10221196540767843
456,196,4,1,0.10170090558064004
457,210,5,1,0.10119240105273684
458,211,4,1,0.10068643904747315
459,104,6,0,0.10018300685223579
460,176,4,1,0.0996820918179746
461,279,6,1,0.09918368135888474
462,220,5,1,0.09868776295209031
463,206,4,1,0.09819432413732986
464,153,2,1,0.09770335251664321
465,216,4,1,0.09721483575406
466,172,3,1,0.09672876157528969
467,186,4,1,0.09624511776741324
468,181,4,1,0.09576389217857617
469,180,5,1,0.09528507271768329
470,157,3,1,0.09480864735409487
471,201,4,1,0.0943346041173244
472,172,3,1,0.09386293109673778
473,244,6,1,0.09339361644125409
474,215,5,1,0.09292664835904782
475,201,4,1,0.09246201511725258
476,187,3,1,0.09199970504166631
477,176,4,1,0.09153970651645797
478,162,3,1,0.09108200798387568
479,254,6,1,0.0906265979439563
480,177,3,1,0.09017346495423652
481,99,6,0,0.08972259762946533
482,187,3,1,0.089273984641318
483,201,4,1,0.0888276147181114
484,186,4,1,0.08838347664452084
485,196,4,1,0.08794155926129824
486,176,4,1,0.08750185146499175
487,225,5,1,0.08706434220766679
488,182,3,1,0.08662902049662846
489,181,4,1,0.08619587539414532
490,202,3,1,0.08576489601717459
491,206,4,1,0.08533607153708872
492,186,4,1,0.08490939117940327
493,206,4,1,0.08448484422350626
494,177,3,1,0.08406242000238873
495,89,6,0,0.08364210790237678
496,201,4,1,0.0832238973628649
497,190,5,1,0.08280777787605056
498,158,2,1,0.08239373898667031
499,157,3,1,0.08198177029173696
500,192,3,1,0.08157186144027828
501,220,5,1,0.0811640021330769
502,201,4,1,0.08075818212241151
503,187,3,1,0.08035439121179945
504,197,3,1,0.07995261925574046
505,230,5,1,0.07955285615946175
506,200,5,1,0.07915509187866444
507,177,3,1,0.07875931641927113
508,172,3,1,0.07836551983717477
509,224,6,1,0.07797369223798889
510,168,2,1,0.07758382377679894
511,207,3,1,0.07719590465791494
512,172,3,1,0.07680992513462537
513,207,3,1,0.07642587550895225
514,197,3,1,0.07604374613140748
515,74,6,0,0.07566352740075044
516,186,4,1,0.07528520976374668
517,201,4,1,0.07490878371492794
518,250,5,1,0.0745342397963533
519,235,5,1,0.07416156859737154
520,230,5,1,0.07379076075438468
521,186,4,1,0.07342180695061275
522,166,4,1,0.07305469791585968
523,171,4,1,0.07268942442628039
524,211,4,1,0.07232597730414898
525,89,6,0,0.07196434741762824
526,181,4,1,0.0716045256805401
527,250,5,1,0.0712465030521374
528,182,3,1,0.0708902705368767
529,211,4,1,0.07053581918419231
530,162,3,1,0.07018314008827135
531,177,3,1,0.06983222438783
532,166,4,1,0.06948306326589085
533,215,5,1,0.0691356479495614
534,182,3,1,0.06878996970981359
535,206,4,1,0.06844601986126451
536,299,6,1,0.06810378976195819
537,162,3,1,0.0677632708131484
538,191,4,1,0.06742445445908266
539,171,4,1,0.06708733218678724
540,177,3,1,0.0667518955258533
541,201,4,1,0.06641813604822402
542,210,5,1,0.0660860453679829
543,196,4,1,0.06575561514114299
544,187,3,1,0.06542683706543727
545,239,6,1,0.06509970288011008
546,201,4,1,0.06477420436570952
547,162,3,1,0.06445033334388098
548,172,3,1,0.06412808167716157
549,181,4,1,0.06380744126877576
550,89,6,0,0.06348840406243188
551,167,3,1,0.06317096204211972
552,186,4,1,0.06285510723190912
553,171,4,1,0.06254083169574957
554,197,3,1,0.062228127537270826
555,168,2,1,0.06191698689958447
556,171,4,1,0.061607401965086545
557,196,4,1,0.06129936495526111
558,201,4,1,0.0609928681304848
559,167,3,1,0.060687903789832374
560,186,4,1,0.06038446427088321
561,221,4,1,0.06008254194952879
562,230,5,1,0.05978212923978115
563,186,4,1,0.05948321859358224
564,230,5,1,0.05918580250061433
565,216,4,1,0.058889873488111255
566,177,3,1,0.058595424120670696
567,182,3,1,0.05830244700006734
568,196,4,1,0.058010934765067
569,230,5,1,0.05772088009124167
570,196,4,1,0.05743227569078546
571,167,3,1,0.05714511431233153
572,172,3,1,0.05685938874076987
573,167,3,1,0.056575091797066025
574,191,4,1,0.056292216338080694
575,201,4,1,0.05601075525639029
576,161,4,1,0.05573070148010834
577,186,4,1,0.0554520479727078
578,200,5,1,0.05517478773284426
579,158,2,1,0.05489891379418004
580,181,4,1,0.05462441922520914
581,216,4,1,0.0543512971290831
582,177,3,1,0.05407954064343768
583,185,5,1,0.05380914294022049
584,64,6,0,0.05354009722551939
585,200,5,1,0.05327239673939179
586,205,5,1,0.053006034755694834
587,206,4,1,0.052741004581916356
588,187,3,1,0.052477299559006776
589,172,3,1,0.052214913061211746
590,220,5,1,0.05195383849590569
591,187,3,1,0.05169406930342616
592,181,4,1,0.05143559895690903
593,182,3,1,0.051178420962124486
594,182,3,1,0.05092252885731386
595,259,6,1,0.05066791621302729
596,161,4,1,0.05041457663196215
597,187,3,1,0.050162503748802344
598,191,4,1,0.049911691230058335
599,231,4,1,0.04966213277390804
600,206,4,1,0.0494138221100385
601,220,5,1,0.04916675299948831
602,182,3,1,0.04892091923449087
603,191,4,1,0.04867631463831842
604,195,5,1,0.048432933065126825
605,196,4,1,0.048190768399801194
606,196,4,1,0.04794981455780219
607,187,3,1,0.04771006548501318
608,210,5,1,0.047471515157588115
609,181,4,1,0.047234157581800176
610,197,3,1,0.046997986793891174
611,177,3,1,0.04676299685992172
612,210,5,1,0.04652918187562211
613,186,4,1,0.046296535966244
614,186,4,1,0.046065053286412784
615,254,6,1,0.04583472801998072
616,202,3,1,0.045605554379880814
617,249,6,1,0.04537752660798141
618,201,4,1,0.0451506389749415
619,154,6,0,0.044924885780066794
620,196,4,1,0.04470026135116646
621,186,4,1,0.04447676004441063
622,163,2,1,0.04425437624418858
623,191,4,1,0.04403310436296763
624,176,4,1,0.043812938841152796
625,210,5,1,0.04359387414694703
626,205,5,1,0.043375904776212296
627,220,5,1,0.043159025252331236
628,207,3,1,0.04294323012606958
629,191,4,1,0.04272851397543923
630,181,4,1,0.04251487140556204
631,196,4,1,0.04230229704853423
632,157,3,1,0.04209078556329156
633,191,4,1,0.0418803316354751
634,226,4,1,0.041670929977297724
635,221,4,1,0.04146257532741124
636,167,3,1,0.04125526245077418
637,186,4,1,0.04104898613852031
638,225,5,1,0.04084374120782771
639,216,4,1,0.04063952250178857
640,181,4,1,0.04043632488927963
641,196,4,1,0.04023414326483323
642,202,3,1,0.040032972548509065
643,172,3,1,0.03983280768576652
644,215,5,1,0.03963364364733769
645,181,4,1,0.039435475429100995
646,196,4,1,0.03923829805195549
647,186,4,1,0.03904210656169572
648,187,3,1,0.03884689602888724
649,225,5,1,0.0386526615487428
650,163,2,1,0.03845939824099909
651,201,4,1,0.03826710124979409
652,186,4,1,0.038075765743545126
653,230,5,1,0.0378853869148274
654,196,4,1,0.03769595998025326
655,182,3,1,0.03750748018035199
656,159,6,0,0.037319942779450235
657,250,5,1,0.037133343065552986
658,210,5,1,0.03694767635022522
659,195,5,1,0.036762937968474095
660,211,4,1,0.03657912327863173
661,221,4,1,0.036396227662238566
662,186,4,1,0.03621424652392737
663,206,4,1,0.036033175291307735
664,178,2,1,0.03585300941485119
665,206,4,1,0.035673744367776934
666,260,5,1,0.03549537564593805
667,172,3,1,0.035317898767708356
668,186,4,1,0.03514130927386981
669,181,4,1,0.03496560272750046
670,249,6,1,0.03479077471386296
671,172,3,1,0.03461682084029365
672,177,3,1,0.034443736736092176
