Episode,Total Reward,Attempts,Success,Epsilon
72,569,4,1,0.9304973749532338
73,732,3,1,0.9295668775782806
74,479,4,1,0.9286373107007023
75,332,5,1,0.9277086733900016
76,479,4,1,0.9267809647166116
77,464,4,1,0.925854183751895
78,702,3,1,0.9249283295681431
79,687,3,1,0.9240034012385749
80,527,5,1,0.9230793978373364
81,272,5,1,0.9221563184394991
82,687,3,1,0.9212341621210596
83,449,4,1,0.9203129279589385
84,524,4,1,0.9193926150309796
85,479,4,1,0.9184732224159486
86,464,4,1,0.9175547491935327
87,332,5,1,0.9166371944443392
88,464,4,1,0.9157205572498949
89,377,5,1,0.914804836692645
90,612,3,1,0.9138900318559524
91,377,5,1,0.9129761418240965
92,434,4,1,0.9120631656822724
93,377,5,1,0.9111511025165902
94,212,6,1,0.9102399514140735
95,449,4,1,0.9093297114626595
96,479,4,1,0.9084203817511969
97,404,4,1,0.9075119613694457
98,479,4,1,0.9066044494080763
99,494,4,1,0.9056978449586682
100,332,6,1,0.9047921471137096
101,392,5,1,0.9038873549665959
102,612,3,1,0.9029834676116293
103,449,4,1,0.9020804841440176
104,509,4,1,0.9011784036598737
105,332,5,1,0.9002772252562138
106,599,4,1,0.8993769480309576
107,584,4,1,0.8984775710829266
108,509,4,1,0.8975790935118436
109,642,3,1,0.8966815144183318
110,479,4,1,0.8957848329039134
111,569,4,1,0.8948890480710096
112,257,6,1,0.8939941590229386
113,464,4,1,0.8931001648639156
114,509,4,1,0.8922070646990518
115,644,4,1,0.8913148576343527
116,419,4,1,0.8904235427767183
117,717,3,1,0.8895331192339416
118,509,4,1,0.8886435861147077
119,434,4,1,0.887754942528593
120,642,3,1,0.8868671875860644
121,614,4,1,0.8859803203984784
122,392,5,1,0.88509434007808
123,272,6,1,0.8842092457380019
124,422,5,1,0.8833250364922639
125,464,4,1,0.8824417114557717
126,479,4,1,0.8815592697443159
127,612,3,1,0.8806777104745716
128,464,4,1,0.8797970327640969
129,539,4,1,0.8789172357313328
130,672,3,1,0.8780383184956015
131,644,4,1,0.8771602801771059
132,407,5,1,0.8762831198969288
133,657,3,1,0.8754068367770318
134,494,4,1,0.8745314299402548
135,464,4,1,0.8736568985103146
136,627,3,1,0.8727832416118043
137,407,5,1,0.8719104583701925
138,524,4,1,0.8710385479118223
139,627,3,1,0.8701675093639105
140,-360,6,0,0.8692973418545467
141,702,3,1,0.8684280445126921
142,317,5,1,0.8675596164681794
143,434,4,1,0.8666920568517111
144,422,5,1,0.8658253647948594
145,494,4,1,0.8649595394300645
146,554,4,1,0.8640945798906344
147,539,4,1,0.8632304853107438
148,524,4,1,0.862367254825433
149,840,2,1,0.8615048875706075
150,212,6,1,0.8606433826830369
151,687,3,1,0.8597827393003539
152,494,4,1,0.8589229565610536
153,524,4,1,0.8580640336044925
154,554,4,1,0.857205969570888
155,512,5,1,0.8563487636013172
156,392,5,1,0.8554924148377159
157,464,4,1,0.8546369224228781
158,642,3,1,0.8537822855004553
159,584,4,1,0.8529285032149548
160,657,3,1,0.8520755747117399
161,672,3,1,0.8512234991370281
162,612,3,1,0.8503722756378911
163,242,6,1,0.8495219033622532
164,464,4,1,0.8486723814588909
165,332,5,1,0.847823709077432
166,509,4,1,0.8469758853683546
167,422,6,1,0.8461289094829862
168,657,3,1,0.8452827805735033
169,659,4,1,0.8444374977929298
170,702,3,1,0.8435930602951368
171,467,5,1,0.8427494672348417
172,614,4,1,0.8419067177676068
173,509,4,1,0.8410648110498392
174,494,4,1,0.8402237462387894
175,449,4,1,0.8393835224925505
176,642,3,1,0.838544138970058
177,464,4,1,0.8377055948310879
178,434,4,1,0.8368678892362568
179,434,4,1,0.8360310213470206
180,479,4,1,0.8351949903256736
181,404,4,1,0.8343597953353479
182,347,5,1,0.8335254355400126
183,717,3,1,0.8326919101044725
184,855,2,1,0.831859218194368
185,627,3,1,0.8310273589761736
186,687,3,1,0.8301963316171974
187,687,3,1,0.8293661352855802
188,464,4,1,0.8285367691502946
189,524,4,1,0.8277082323811443
190,509,4,1,0.8268805241487632
191,464,4,1,0.8260536436246144
192,672,3,1,0.8252275899809898
193,840,2,1,0.8244023623910088
194,362,5,1,0.8235779600286178
195,509,4,1,0.8227543820685892
196,524,4,1,0.8219316276865206
197,657,3,1,0.8211096960588341
198,377,5,1,0.8202885863627752
199,422,5,1,0.8194682977764125
200,702,3,1,0.818648829478636
201,377,5,1,0.8178301806491574
202,347,5,1,0.8170123504685082
203,257,6,1,0.8161953381180397
204,422,5,1,0.8153791427799216
205,479,4,1,0.8145637636371417
206,302,5,1,0.8137491998735046
207,672,3,1,0.812935450673631
208,702,3,1,0.8121225152229574
209,795,2,1,0.8113103927077344
210,347,5,1,0.8104990823150267
211,732,3,1,0.8096885832327116
212,167,6,1,0.8088788946494789
213,377,5,1,0.8080700157548294
214,717,3,1,0.8072619457390746
215,614,4,1,0.8064546837933355
216,494,4,1,0.8056482291095421
217,494,4,1,0.8048425808804326
218,449,4,1,0.8040377382995522
219,509,4,1,0.8032337005612527
220,362,5,1,0.8024304668606914
221,539,4,1,0.8016280363938307
222,362,5,1,0.8008264083574369
223,642,3,1,0.8000255819490795
224,524,4,1,0.7992255563671304
225,627,3,1,0.7984263308107633
226,287,5,1,0.7976279044799526
227,332,5,1,0.7968302765754727
228,672,3,1,0.7960334462988972
229,404,4,1,0.7952374128525983
230,407,5,1,0.7944421754397457
231,657,3,1,0.7936477332643059
232,464,4,1,0.7928540855310416
233,657,3,1,0.7920612314455105
234,494,4,1,0.7912691702140651
235,452,5,1,0.790477901043851
236,825,2,1,0.7896874231428072
237,377,5,1,0.7888977357196644
238,362,5,1,0.7881088379839447
239,539,4,1,0.7873207291459607
240,524,4,1,0.7865334084168147
241,494,4,1,0.7857468750083979
242,479,4,1,0.7849611281333895
243,687,3,1,0.784176167005256
244,672,3,1,0.7833919908382508
245,479,4,1,0.7826085988474126
246,362,5,1,0.7818259902485653
247,392,5,1,0.7810441642583167
248,287,6,1,0.7802631200940584
249,657,3,1,0.7794828569739644
250,407,5,1,0.7787033741169904
251,642,3,1,0.7779246707428734
252,702,3,1,0.7771467460721305
253,332,5,1,0.7763695993260584
254,362,5,1,0.7755932297267324
255,687,3,1,0.7748176364970056
256,642,3,1,0.7740428188605086
257,597,3,1,0.7732687760416481
258,494,4,1,0.7724955072656065
259,509,4,1,0.7717230117583408
260,404,4,1,0.7709512887465825
261,642,3,1,0.7701803374578359
262,612,3,1,0.7694101571203781
263,524,4,1,0.7686407469632577
264,687,3,1,0.7678721062162944
265,509,4,1,0.7671042341100781
266,287,5,1,0.766337129875968
267,524,4,1,0.7655707927460921
268,422,5,1,0.764805221953346
269,612,3,1,0.7640404167313927
270,404,4,1,0.7632763763146613
271,642,3,1,0.7625130999383466
272,227,6,1,0.7617505868384082
273,419,4,1,0.7609888362515699
274,657,3,1,0.7602278474153183
275,332,6,1,0.759467619567903
276,627,3,1,0.7587081519483351
277,569,4,1,0.7579494437963867
278,464,4,1,0.7571914943525904
279,-255,6,0,0.7564343028582378
280,509,4,1,0.7556778685553796
281,539,4,1,0.7549221906868242
282,449,4,1,0.7541672684961374
283,449,4,1,0.7534131012276413
284,539,4,1,0.7526596881264136
285,494,4,1,0.7519070284382872
286,542,5,1,0.7511551214098489
287,614,4,1,0.750403966288439
288,582,3,1,0.7496535623221505
289,657,3,1,0.7489039087598284
290,509,4,1,0.7481550048510686
291,287,5,1,0.7474068498462175
292,612,3,1,0.7466594429963713
293,672,3,1,0.745912783553375
294,614,4,1,0.7451668707698216
295,524,4,1,0.7444217038990517
296,422,5,1,0.7436772821951526
297,479,4,1,0.7429336049129575
298,599,4,1,0.7421906713080445
299,434,4,1,0.7414484806367364
300,392,5,1,0.7407070321560997
301,687,3,1,0.7399663251239436
302,317,5,1,0.7392263587988196
303,479,4,1,0.7384871324400207
304,464,4,1,0.7377486453075807
305,332,5,1,0.737010896662273
306,539,4,1,0.7362738857656108
307,747,3,1,0.7355376118798452
308,494,4,1,0.7348020742679654
309,509,4,1,0.7340672721936974
310,479,4,1,0.7333332049215037
311,672,3,1,0.7325998717165821
312,612,3,1,0.7318672718448656
313,422,5,1,0.7311354045730207
314,717,3,1,0.7304042691684477
315,-180,6,0,0.7296738648992792
316,642,3,1,0.7289441910343799
317,539,4,1,0.7282152468433455
318,627,3,1,0.7274870315965022
319,449,4,1,0.7267595445649057
320,672,3,1,0.7260327850203407
321,494,4,1,0.7253067522353204
322,464,4,1,0.724581445483085
323,627,3,1,0.723856864037602
324,554,4,1,0.7231330071735643
325,479,4,1,0.7224098741663908
326,509,4,1,0.7216874642922244
327,449,4,1,0.7209657768279322
328,407,5,1,0.7202448110511043
329,524,4,1,0.7195245662400531
330,702,3,1,0.7188050416738131
331,332,6,1,0.7180862366321393
332,672,3,1,0.7173681503955072
